file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\repository\function\Function.java,com.alibaba.druid.sql.repository.function.Function,interface,2,3,1,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLSyncMetaStatement.java,com.alibaba.druid.sql.ast.statement.SQLSyncMetaStatement,class,4,4,0,4,10,2,0,3,20,0.7222222,0.0,0.0,9,0,8,0,1,0,9,0,0,0,4,0,0,4,0,0,0,0,0,37,4,0,0,0,0,0,0,4,0,4,1,0,0,0,27,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\pool\DruidPooledCallableStatement.java,com.alibaba.druid.pool.DruidPooledCallableStatement,class,9,11,2,9,232,4,0,118,0,0.008547009,0.0,0.0,117,0,116,1,0,0,116,0,0,0,1,0,0,1,0,0,0,0,0,926,67,0,2,111,0,1,0,8,0,7,2,0,0,0,88,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\druid-spring-boot-starter\src\main\java\com\alibaba\druid\spring\boot\autoconfigure\DruidDataSourceAutoConfigure.java,com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure,class,18,19,1,18,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,1,0,0,0,0,2,0,1,0,1,0,0,0,0,16,1,1
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\pool\DruidDataSource.java,com.alibaba.druid.pool.DruidDataSource$DestroyTask,innerclass,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\postgresql\ast\stmt\PGFunctionTableSource.java,com.alibaba.druid.sql.dialect.postgresql.ast.stmt.PGFunctionTableSource,class,8,14,6,8,11,2,0,11,9,0.5,0.0,0.0,6,0,5,0,1,0,6,0,0,0,1,0,0,1,0,0,1,0,0,41,2,2,2,0,0,0,0,5,0,4,2,0,0,0,28,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\postgresql\ast\stmt\PGSQLStatement.java,com.alibaba.druid.sql.dialect.postgresql.ast.stmt.PGSQLStatement,interface,2,12,10,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\pool\vendor\OceanBaseValidConnectionChecker.java,com.alibaba.druid.pool.vendor.OceanBaseValidConnectionChecker,class,3,4,1,3,10,2,0,8,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,43,2,0,3,1,0,2,1,8,0,4,3,0,0,0,35,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\support\ibatis\SpringIbatisBeanTypeAutoProxyCreator.java,com.alibaba.druid.support.ibatis.SpringIbatisBeanTypeAutoProxyCreator,class,9,10,1,9,12,2,0,12,6,0.75,0.0,0.0,5,0,2,0,3,0,5,0,0,0,4,2,0,4,0,0,3,0,0,47,9,1,0,1,0,3,1,6,0,5,3,0,0,0,82,1,1
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLDropTriggerStatement.java,com.alibaba.druid.sql.ast.statement.SQLDropTriggerStatement,class,9,10,1,9,12,2,0,5,14,0.6111111,0.0,0.0,9,0,8,0,1,0,9,0,0,0,2,0,0,2,0,0,0,0,0,41,5,0,2,0,0,0,0,3,0,3,1,0,0,0,35,1,0
