id,stargazerCount,nameWithOwner,url,createdAt,releases,ageinyears,LOC,CBO,DIT,LCOM
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,126912,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,0,4.33,0.0,,,
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,76568,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,0,8.07,32463.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,71333,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,0,3.75,78.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,65278,doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,1,3.91,0.0,,,
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,63029,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,145,9.88,151283.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,60999,elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,96,12.57,1830277.0,5.0,2.0,0.0
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,60819,macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,2,4.42,100633.0,3.0,1.0,0.414285715
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,58110,kdn251/interviews,https://github.com/kdn251/interviews,2017-02-14T18:19:25Z,0,5.55,5621.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,49021,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08T04:04:45Z,234,11.74,638538.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,47780,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,0,3.0,5.0,0.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,47543,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,2016-07-16T10:21:02Z,0,6.14,25011.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NTA4NDEx,46400,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,229,9.65,369316.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,45607,google/guava,https://github.com/google/guava,2014-05-29T16:23:17Z,35,8.27,262612.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk4OTIyNzU=,40472,square/retrofit,https://github.com/square/retrofit,2010-09-06T21:39:43Z,0,11.99,26666.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk0NzEwOTIw,37813,apache/dubbo,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,54,10.21,178052.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxOTE0ODk0OQ==,35524,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,44,8.36,21111.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=,34086,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,22,3.51,1636492.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==,33162,airbnb/lottie-android,https://github.com/airbnb/lottie-android,2016-10-06T22:42:42Z,43,5.91,15560.0,5.0,1.0,0.2
MDEwOlJlcG9zaXRvcnkxMTI2NzUwOQ==,32939,bumptech/glide,https://github.com/bumptech/glide,2013-07-08T22:52:33Z,39,9.16,57287.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk5NzU0OTgz,31836,eugenp/tutorials,https://github.com/eugenp/tutorials,2013-04-29T18:26:36Z,0,9.35,363261.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk4ODU5NDc0,31479,skylot/jadx,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,25,9.46,101404.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyNjc3NzU2Mjk=,31320,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,2020-05-29T05:47:09Z,0,2.27,61.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk2NDU1ODE0Mw==,31305,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,116,6.1,39898.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=,30689,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,21,3.77,32100.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=,30383,alibaba/arthas,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,46,4.02,40169.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyNTYyNzUx,30041,zxing/zxing,https://github.com/zxing/zxing,2011-10-12T14:07:27Z,28,10.9,39522.0,4.0,2.0,0.25
MDEwOlJlcG9zaXRvcnkxMDY0NTYz,29866,netty/netty,https://github.com/netty/netty,2010-11-09T09:22:21Z,0,11.82,308045.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,28130,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,2015-10-21T08:26:28Z,158,6.87,402819.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==,27942,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,0,5.83,3141.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==,27232,apolloconfig/apollo,https://github.com/apolloconfig/apollo,2016-03-04T10:24:23Z,37,6.5,44503.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=,26798,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,2017-12-17T09:06:50Z,0,4.71,4399.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTAyMTExNDc=,26511,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,0,4.82,7163.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyNzAwMTU5,25977,alibaba/druid,https://github.com/alibaba/druid,2011-11-03T05:12:51Z,44,10.84,308788.0,4.0,2.0,0.0
MDEwOlJlcG9zaXRvcnk4NTc1MTM3,25685,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,2013-03-05T08:18:59Z,0,9.5,7712.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNDg3MzYyNDM=,25236,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,2018-09-14T04:36:24Z,0,3.97,8618.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMDgyNTI4OTI=,25167,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,49,4.86,3392.0,4.0,1.0,0.4
MDEwOlJlcG9zaXRvcnkyNzAwNDc0,24947,alibaba/fastjson,https://github.com/alibaba/fastjson,2011-11-03T06:58:52Z,84,10.84,205479.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=,24923,alibaba/easyexcel,https://github.com/alibaba/easyexcel,2018-02-06T03:14:08Z,1,4.57,18956.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTYyMzc4MjM=,24779,lenve/vhr,https://github.com/lenve/vhr,2018-01-04T08:57:51Z,0,4.67,2971.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NjEzMjU3,24493,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2013-01-14T21:40:56Z,76,9.64,88860.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMzE3ODk0OTQ=,24178,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,0,4.34,6031.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MDcwMzg5,24081,greenrobot/EventBus,https://github.com/greenrobot/EventBus,2012-07-16T16:55:40Z,7,10.14,5269.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NTg3MDM4,23983,alibaba/canal,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,24,9.64,107079.0,4.0,1.0,0.25
MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==,23820,dromara/hutool,https://github.com/dromara/hutool,2014-04-13T07:23:51Z,119,8.39,111990.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=,23810,alibaba/nacos,https://github.com/alibaba/nacos,2018-06-15T06:49:27Z,47,4.22,109604.0,3.0,1.0,0.1
