id,nameWithOwner,mergedPullRequests,closedPullRequests,totalPullRequests
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,18297,12401,30698
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,1063,867,1930
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,4543,1711,6254
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,334,479,813
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,593,1201,1794
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,719,265,984
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,1870,907,2777
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,1100,949,2049
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,193,79,272
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,8532,3823,12355
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,15159,6433,21592
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,94,70,164
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,twbs/bootstrap,7852,5952,13804
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,getify/You-Dont-Know-JS,355,459,814
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CyC2018/CS-Notes,375,159,534
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,268,174,442
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh/ohmyzsh,2709,3411,6120
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,1878,3092,4970
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter/flutter,27535,10723,38258
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,527,899,1426
MDEwOlJlcG9zaXRvcnkxMDYyODk3,github/gitignore,1522,2240,3762
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,torvalds/linux,9,439,448
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,microsoft/vscode,12019,3228,15247
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,Snailclimb/JavaGuide,721,237,958
MDEwOlJlcG9zaXRvcnk2NDk4NDky,airbnb/javascript,781,537,1318
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,jackfrued/Python-100-Days,12,110,122
