id,name,owner,mergedPullRequests,closedPullRequests,totalPullRequests
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,freeCodeCamp,18338,12475,30813
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,996icu,1063,867,1930
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,EbookFoundation,4738,1865,6603
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,jwasham,335,480,815
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,sindresorhus,593,1202,1795
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,kamranahmedse,847,344,1191
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,public-apis,1870,907,2777
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,vuejs,1100,950,2050
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,donnemartin,193,79,272
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,facebook,8558,3851,12409
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,tensorflow,15165,6433,21598
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,codecrafters-io,94,70,164
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,bootstrap,twbs,7870,5958,13828
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,You-Dont-Know-JS,getify,355,459,814
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CS-Notes,CyC2018,375,159,534
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,trekhleb,268,175,443
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,ohmyzsh,2712,3419,6131
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,TheAlgorithms,1894,3453,5347
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter,flutter,27582,10741,38323
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,vinta,527,900,1427
MDEwOlJlcG9zaXRvcnkxMDYyODk3,gitignore,github,1522,2241,3763
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,linux,torvalds,9,439,448
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,microsoft,12089,3231,15320
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,JavaGuide,Snailclimb,721,237,958
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,Python-100-Days,jackfrued,12,110,122
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,computer-science,ossu,223,149,372
MDEwOlJlcG9zaXRvcnkxMDM5NTIw,youtube-dl,ytdl-org,1571,2273,3844
MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,the-art-of-command-line,jlevy,304,135,439
MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=,fucking-algorithm,labuladong,209,182,391
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,react-native,facebook,647,10260,10907
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted,awesome-selfhosted,1964,480,2444
MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,go,golang,1,2297,2298
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron,electron,15750,1984,17734
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds-of-code,30-seconds,753,729,1482
MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3,d3,439,675,1114
MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,facebook,1942,1748,3690
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,axios,604,515,1119
MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,free-programming-books-zh_CN,justjavac,280,144,424
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,next.js,vercel,10118,2535,12653
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes,kubernetes,52679,17579,70258
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,node,nodejs,4905,23126,28031
MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,awesome-go,avelino,2826,1098,3924
MDEwOlJlcG9zaXRvcnk1NzYyMDE=,three.js,mrdoob,10037,3041,13078
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,deno,denoland,7023,1721,8744
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,terminal,microsoft,2886,341,3227
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,TypeScript,microsoft,12225,2696,14921
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular,angular,3225,18928,22153
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design,ant-design,9345,2531,11876
MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,nodebestpractices,goldbergyoni,737,130,867
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,material-ui,mui,14225,3081,17306
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer,puppeteer,2690,645,3335
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,the-book-of-secret-knowledge,trimstray,122,71,193
MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,tech-interview-handbook,yangshun,182,52,234
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,PowerToys,microsoft,3460,413,3873
MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,vue-element-admin,PanJiaChen,313,156,469
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,practical-tutorials,179,112,291
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,java-design-patterns,iluwatar,867,405,1272
MDEwOlJlcG9zaXRvcnkyNTYxNTgy,animate.css,animate-css,313,423,736
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,models,tensorflow,2252,1239,3491
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybook,storybookjs,6957,1772,8729
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,thefuck,nvbn,478,109,587
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,clean-code-javascript,ryanmcdermott,148,94,242
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust,rust-lang,42924,13458,56382
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,transformers,huggingface,7379,1656,9035
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,scrcpy,Genymobile,61,234,295
MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel,laravel,1451,2883,4334
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,Font-Awesome,FortAwesome,193,433,626
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,realworld,gothinkster,233,107,340
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,advanced-java,doocs,74,39,113
MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django,django,7683,8259,15942
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,FiraCode,tonsky,124,45,169
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,awesome-vue,vuejs,3348,338,3686
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin,bitcoin,12230,5519,17749
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love,papers-we-love,406,79,485
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby,moby,17622,4575,22197
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv,opencv,10779,2472,13251
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,json-server,typicode,100,143,243
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-boot,spring-projects,41,5322,5363
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin,gin-gonic,858,415,1273
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,every-programmer-should-know,mtdvio,86,39,125
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,gohugoio,1788,2229,4017
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,sveltejs,2418,582,3000
MDEwOlJlcG9zaXRvcnkxODYxNDU4,reveal.js,hakimel,365,531,896
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,Front-End-Checklist,thedaviddias,172,115,287
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,webpack,4180,1552,5732
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elasticsearch,elastic,51355,7712,59067
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm,nvm-sh,654,260,914
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindcss,tailwindlabs,1519,396,1915
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata,netdata,5778,725,6503
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,swift,apple,39337,5040,44377
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,flask,pallets,1404,860,2264
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,frp,fatedier,394,201,595
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,free-for-dev,ripienaar,1967,504,2471
MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular.js,angular,789,7133,7922
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch,pytorch,5181,51524,56705
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,redux,reduxjs,1551,788,2339
MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom,atom,3932,1305,5237
MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume.github.com,resume,84,84,168
MDEwOlJlcG9zaXRvcnkyMzcxNTk=,express,expressjs,257,808,1065
MDEwOlJlcG9zaXRvcnk4ODQzNjgz,Chart.js,chartjs,2746,787,3533
