GraphQLDurations,GraphQLSizes,RESTDurations,RESTSizes
450.368,3190,1726.096,557902
462.651,3190,1503.992,557902
445.885,3190,761.681,557902
463.313,3190,735.719,557902
458.16,3190,1579.558,557902
443.82,3190,845.0609999999999,557902
452.011,3190,751.053,557902
458.287,3190,774.227,557902
476.317,3190,841.118,557902
472.84,3190,803.724,557902
467.267,3190,680.269,557902
533.882,3190,905.4,557902
448.638,3190,843.138,557902
467.868,3190,877.002,557902
462.681,3190,1033.979,557902
501.224,3190,728.038,557902
493.586,3190,798.7429999999999,557902
504.421,3190,1047.424,557902
494.053,3190,980.699,557902
430.641,3190,922.0509999999999,557902
442.361,3190,726.298,557902
442.839,3190,808.68,557902
421.943,3190,848.145,557902
451.847,3190,800.213,557902
430.547,3190,779.218,557902
426.766,3190,727.917,557902
485.519,3190,877.026,557902
544.818,3190,737.801,557902
537.6999999999999,3190,743.537,557902
547.833,3190,827.51,557902
474.806,3190,856.279,557902
475.066,3190,723.523,557902
465.338,3190,900.581,557902
486.0,3190,862.169,557902
461.05,3190,746.3610000000001,557902
455.086,3190,717.124,557902
561.4630000000001,3190,746.487,557902
629.535,3190,757.626,557902
501.848,3190,778.284,557902
455.803,3190,795.393,557902
444.868,3190,942.481,557902
420.872,3190,805.3209999999999,557902
473.148,3190,779.0200000000001,557902
447.419,3190,763.023,557902
439.895,3190,759.5730000000001,557902
453.961,3190,804.316,557902
462.994,3190,1066.3229999999999,557902
443.654,3190,738.699,557902
425.853,3190,966.932,557902
445.363,3190,694.239,557902
511.784,3190,874.46,557902
498.594,3190,926.987,557902
529.0780000000001,3190,673.4290000000001,557902
454.943,3190,765.528,557902
447.108,3190,946.1239999999999,557902
458.145,3190,763.06,557902
498.656,3190,873.2090000000001,557902
459.002,3190,703.893,557902
434.612,3190,721.026,557902
422.919,3190,723.187,557902
461.102,3190,744.2370000000001,557902
437.107,3190,716.898,557902
432.936,3190,837.45,557902
439.971,3190,702.5120000000001,557902
466.039,3190,732.144,557902
451.63,3190,967.0060000000001,557902
466.177,3190,819.231,557902
428.144,3190,959.019,557902
497.066,3190,729.3349999999999,557902
450.591,3190,679.166,557902
473.012,3190,732.6859999999999,557902
451.235,3190,938.4879999999999,557902
457.84,3190,779.687,557902
468.971,3190,842.424,557902
481.048,3190,875.035,557902
444.4620000000001,3190,753.89,557902
470.73,3190,828.89,557902
462.583,3190,934.3240000000001,557902
490.468,3190,1004.772,557902
481.045,3190,1256.894,557902
434.902,3190,849.148,557902
470.975,3190,941.612,557902
473.395,3190,731.0980000000001,557902
426.84,3190,777.018,557902
472.289,3190,801.948,557902
457.643,3190,835.539,557902
460.665,3190,704.469,557902
473.593,3190,733.4549999999999,557902
477.176,3190,679.596,557902
475.698,3190,775.1949999999999,557902
461.004,3190,814.303,557902
470.767,3190,687.297,557902
461.572,3190,1082.212,557902
462.403,3190,816.806,557902
455.515,3190,792.891,557902
482.961,3190,755.546,557902
475.026,3190,950.2969999999999,557902
436.607,3190,701.981,557902
466.126,3190,759.185,557902
419.077,3190,712.803,557902
