GraphQLDurations,GraphQLSizes,RESTDurations,RESTSizes
368.115,169,356.388,5341
350.28,169,310.90000000000003,5341
368.184,169,324.384,5341
359.03000000000003,169,317.41700000000003,5341
349.37800000000004,169,324.659,5341
356.755,169,334.04,5341
367.715,169,325.135,5341
442.948,169,343.53499999999997,5341
492.901,169,308.378,5341
460.296,169,307.0,5341
460.005,169,336.31,5341
478.772,169,308.01,5341
460.117,169,321.198,5341
366.221,169,311.466,5341
362.544,169,309.196,5341
350.043,169,317.454,5341
349.94199999999995,169,316.718,5341
357.129,169,305.884,5341
353.438,169,326.332,5341
333.65099999999995,169,321.09,5341
355.512,169,317.328,5341
340.883,169,314.764,5341
361.342,169,316.25,5341
358.271,169,312.547,5341
353.18100000000004,169,327.298,5341
385.3,169,320.76,5341
347.574,169,310.29400000000004,5341
342.956,169,308.457,5341
355.66,169,319.221,5341
1359.916,169,527.302,5341
347.059,169,320.379,5341
350.387,169,323.535,5341
358.982,169,318.58,5341
353.059,169,319.212,5341
351.137,169,322.63100000000003,5341
481.7600000000001,169,371.113,5341
479.722,169,315.927,5341
524.01,169,310.089,5341
513.352,169,306.86400000000003,5341
330.045,169,328.204,5341
374.053,169,322.403,5341
332.255,169,316.00600000000003,5341
336.05800000000005,169,322.56600000000003,5341
333.363,169,328.882,5341
446.964,169,298.22900000000004,5341
353.614,169,310.77,5341
348.658,169,323.2,5341
374.739,169,333.034,5341
371.003,169,359.059,5341
343.038,169,426.113,5341
345.143,169,339.747,5341
396.521,169,311.346,5341
363.542,169,315.59700000000004,5341
374.741,169,311.921,5341
366.802,169,323.62800000000004,5341
368.169,169,334.668,5341
359.605,169,332.73900000000003,5341
344.419,169,327.462,5341
333.913,169,339.52700000000004,5341
365.351,169,352.538,5341
334.441,169,320.7,5341
364.307,169,501.117,5341
488.381,169,320.50800000000004,5341
465.777,169,327.533,5341
475.945,169,316.565,5341
524.1329999999999,169,312.402,5341
634.582,169,334.194,5341
599.585,169,341.04400000000004,5341
334.78599999999994,169,339.994,5341
412.472,169,311.805,5341
353.545,169,318.012,5341
330.293,169,325.667,5341
342.629,169,317.671,5341
331.986,169,409.018,5341
332.869,169,362.882,5341
342.231,169,331.648,5341
328.5,169,339.714,5341
332.352,169,311.807,5341
328.021,169,404.486,5341
346.29,169,347.134,5341
372.648,169,318.357,5341
352.40700000000004,169,310.35699999999997,5341
393.871,169,312.651,5341
350.251,169,318.01800000000003,5341
358.093,169,312.249,5341
368.073,169,314.021,5341
345.427,169,326.238,5341
363.493,169,298.38,5341
351.472,169,318.65900000000005,5341
347.661,169,321.287,5341
465.543,169,333.063,5341
362.159,169,302.875,5341
343.96,169,316.359,5341
354.539,169,343.848,5341
379.772,169,347.964,5341
380.006,169,329.376,5341
347.579,169,309.224,5341
387.085,169,327.39099999999996,5341
348.27000000000004,169,334.126,5341
379.457,169,323.197,5341
